DN;area_km2
3;0.947
3;0.947
3;0.947
3;0.947
3;2.8406
3;0.9469
3;0.9469
3;3.7873
3;3.7873
3;0.9468
3;0.9468
3;30.2974
3;0.9467
3;0.9467
3;0.9467
3;2.84
3;3.7867
3;1.8933
3;0.9467
3;0.9466
3;3.7865
3;0.9466
3;92.8043
3;0.9466
3;1.8932
3;16.0931
3;2.8397
3;1.8931
3;0.9465
3;0.9465
3;0.9465
3;2.8394
3;0.9465
3;57.7429
3;0.9465
3;1.8929
3;0.9465
3;1.8929
3;2.8393
3;7.5709
3;1.8928
3;0.9464
3;2.8392
3;0.9464
3;9.4642
3;0.9464
3;0.9464
3;1.8927
3;0.9464
3;32.1802
3;0.9463
3;0.9463
3;0.9463
3;1.8926
3;0.9463
3;6.6238
3;0.9463
3;0.9463
3;1.8925
3;1.8925
3;0.9463
3;3.785
3;0.9462
3;0.9462
3;0.9462
3;33.1155
3;0.9462
3;1.8923
3;1.8923
3;0.9462
3;0.9462
3;0.9462
3;4.7304
3;16.083
3;13.2445
3;0.9461
3;8.5147
3;0.9461
3;6.6231
3;27.4372
3;0.9461
3;2.8381
3;0.9461
3;1.8922
3;1.8921
3;0.9461
3;0.946
3;0.946
3;0.946
3;0.946
3;3.7842
3;0.946
3;1.8919
3;0.946
3;0.946
3;2.8379
3;0.946
3;1.892
3;0.946
3;0.946
3;5.6756
3;5.6754
3;3.7836
3;1.8919
3;1.8918
3;1.8918
3;0.9459
3;0.9459
3;3.7835
3;0.9459
3;0.9459
3;0.9459
3;0.9459
3;2.8376
3;0.9458
3;0.9458
3;0.9458
3;0.9458
3;0.9458
3;0.9458
3;0.9458
3;8.513
3;8.5116
3;3.7833
3;0.9458
3;0.9458
3;1.8915
3;0.9458
3;0.9458
3;0.9458
3;0.9457
3;0.9457
3;0.9457
3;1.8914
3;0.9457
3;0.9457
3;12.2948
3;0.9456
3;1.8912
3;4.7278
3;0.9456
3;0.9455
3;0.9455
3;0.9455
3;1.891
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;0.9455
3;20.8009
3;2.8364
3;31.2039
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;0.9454
3;1.8907
3;0.9454
3;0.9453
3;10.3985
3;1.8906
3;0.9453
3;0.9453
3;1.8906
3;0.9453
3;0.9453
3;0.9453
3;0.9453
3;20.8024
3;0.9453
3;0.9453
3;0.9453
3;1.8906
3;0.9453
3;0.9453
3;0.9453
3;1.8906
3;0.9452
3;0.9452
3;2.8357
3;4.726
3;0.9452
3;3.7806
3;2.8355
3;0.9452
3;0.9452
3;2.8354
3;3.7806
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;0.9451
3;52.9292
3;3.7803
3;0.945
3;6.6152
3;1.8901
3;2.835
3;0.945
3;0.945
3;0.945
3;0.945
3;7.56
3;83.1745
3;0.945
3;1.8899
3;2.835
3;1.89
3;0.945
3;0.945
3;2.835
3;0.945
3;1.8899
3;7.5595
3;0.9449
3;3.7798
3;0.9449
3;0.9449
3;2.8346
3;0.9449
3;0.9449
3;0.9449
3;1.8897
3;0.9449
3;0.9449
3;1.8897
3;0.9449
3;0.9449
3;0.9449
3;1.8897
3;1.8897
3;1.8897
3;0.9449
3;2.8345
3;0.9449
3;1.8897
3;4.7242
3;0.9448
3;3.779
3;1.8895
3;0.9448
3;0.9448
3;0.9448
3;0.9448
3;0.9448
3;1.8895
3;1.8895
3;0.9447
3;0.9447
3;2.8342
3;0.9447
3;1.8894
3;13.227
3;8.5022
3;8.5022
3;3.7788
3;5.6681
3;3.7787
3;1.8894
3;1.8894
3;0.9447
3;0.9447
3;0.9447
3;0.9447
3;0.9446
3;0.9446
3;1.8892
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;12.2798
3;19.839
3;0.9446
3;5.6671
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;0.9446
3;0.9445
3;62.3499
3;5.6673
3;3.778
3;1.889
3;0.9445
3;0.9445
3;0.9445
3;0.9445
3;4.7223
3;0.9445
3;0.9445
3;1.8889
3;5.6667
3;0.9445
3;0.9444
3;0.9444
3;3.7775
3;20.7777
3;1.8888
3;0.9444
3;1.8887
3;0.9444
3;0.9444
3;0.9444
3;0.9444
3;2.833
3;0.9444
3;26.4439
3;1.8887
3;10.3879
3;0.9444
3;0.9444
3;0.9443
3;0.9443
3;0.9443
3;0.9443
